id,file_name,file_index,img_type,time_utc,minute_offsets,episode_id,event_id,event_type,llcrnrlat,llcrnrlon,urcrnrlat,urcrnrlon,proj,size_x,size_y,height_m,width_m,data_min,data_max,pct_missing,mid_lat,mid_long
S834603,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,0,vil,5/12/19 18:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,138793,834603,Flood,29.86291091,-100.8555301,33.35231856,-96.83814671,#NAME?,384,384,384000,384000,0,112,0,31.60761474,-98.84683841
S831344,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,1,vil,5/26/19 0:55,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,138274,831344,Thunderstorm Wind,38.5301158,-95.44742733,41.79258704,-90.68311036,#NAME?,384,384,384000,384000,0,254,0,40.16135142,-93.06526885
S821019,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,2,vil,6/17/19 1:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,136841,821019,Thunderstorm Wind,28.83119954,-91.9161975,31.98198081,-87.61673625,#NAME?,384,384,384000,384000,0,254,0.249134712,30.40659018,-89.76646688
S830464,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,3,vil,5/10/19 3:25,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,137256,830464,Flash Flood,28.23752044,-97.32870552,31.60184783,-93.25315835,#NAME?,384,384,384000,384000,0,254,0.265306122,29.91968414,-95.29093194
S825041,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,4,vil,5/29/19 19:21,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,136369,825041,Thunderstorm Wind,38.92926132,-82.19275962,41.59044413,-76.7928665,#NAME?,384,384,384000,384000,0,254,0,40.25985273,-79.49281306
S818174,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,5,vil,5/28/19 3:29,-119:-114:-109:-104:-99:-94:-89:-84:-79:-74:-69:-64:-59:-54:-49:-44:-39:-34:-29:-24:-19:-14:-9:-4:1:6:11:16:21:26:31:36:41:46:51:56:61:66:71:76:81:86:91:96:101:106:111:116:121,136052,818174,Hail,38.33367016,-86.42405732,41.20047882,-81.26000583,#NAME?,384,384,384000,384000,0,254,0,39.76707449,-83.84203158
S830199,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,6,vil,5/12/19 12:46,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,138152,830199,Thunderstorm Wind,28.67859209,-90.32640837,31.76514087,-85.97895001,#NAME?,384,384,384000,384000,0,254,0.213551216,30.22186648,-88.15267919
S842121,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,7,vil,6/23/19 21:08,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,139570,842121,Thunderstorm Wind,31.98767883,-85.86262493,34.8640168,-81.15536434,#NAME?,384,384,384000,384000,0,254,0.244097997,33.42584782,-83.50899464
S807772,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,8,vil,4/15/19 7:40,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,134771,807772,Thunderstorm Wind,38.63292815,-77.76426624,41.07365593,-72.21008542,#NAME?,384,384,384000,384000,0,254,0,39.85329204,-74.98717583
S814242,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,9,vil,5/3/19 21:45,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,135707,814242,Hail,30.2197763,-104.7361466,33.84458591,-100.8573183,#NAME?,384,384,384000,384000,0,254,0.33936751,32.03218111,-102.7967325
S814355,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,10,vil,5/20/19 21:55,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,135700,814355,Thunderstorm Wind,40.69305714,-74.36382958,42.93562517,-68.46381156,#NAME?,384,384,384000,384000,0,254,0,41.81434116,-71.41382057
S815466,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,11,vil,4/14/19 4:50,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,135883,815466,Thunderstorm Wind,32.40557415,-90.73425871,35.49109385,-86.18496965,#NAME?,384,384,384000,384000,0,254,0.268869275,33.948334,-88.45961418
S818247,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,12,vil,6/2/19 18:33,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,136334,818247,Hail,37.31836308,-84.22420286,40.08757323,-79.05269241,#NAME?,384,384,384000,384000,0,254,0,38.70296816,-81.63844764
S837670,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,13,vil,6/27/19 12:15,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,139269,837670,Flash Flood,42.18712747,-99.06740665,45.59315338,-94.20250998,#NAME?,384,384,384000,384000,0,254,0.082364937,43.89014043,-96.63495832
